"QUARTERLY TAX CALCULATOR PRO 2024","","","","","","",""
"© 2024 E&N Tax & Accounting","","","","","","",""
"","","","","","","",""
"KEY METRICS","","","","","","",""
"Total Annual Tax Due:","=Calculations!A15","","","","","",""
"Safe Harbor Amount:","=Calculations!A21","","","","","",""
"Payments Made YTD:","='Payment Tracker'!A11","","","","","",""
"Next Payment Due:","='Payment Tracker'!A13","","","","","",""
"Next Due Date:","='Payment Tracker'!A14","","","","","",""
"","","","","","","",""
"PAYMENT STATUS","","","","","","",""
"Quarter","Status","Due Date","Amount Due","Amount Paid","Balance","Days Until Due",""
"Q1 2024","=IF('Payment Tracker'!G3=0,""PAID"",IF(TODAY()>'Payment Tracker'!B3,""OVERDUE"",""DUE""))","1/15/2024","='Payment Tracker'!E3","='Payment Tracker'!F3","='Payment Tracker'!G3","=MAX(0,'Payment Tracker'!B3-TODAY())",""
"Q2 2024","=IF('Payment Tracker'!G4=0,""PAID"",IF(TODAY()>'Payment Tracker'!B4,""OVERDUE"",""DUE""))","6/17/2024","='Payment Tracker'!E4","='Payment Tracker'!F4","='Payment Tracker'!G4","=MAX(0,'Payment Tracker'!B4-TODAY())",""
"Q3 2024","=IF('Payment Tracker'!G5=0,""PAID"",IF(TODAY()>'Payment Tracker'!B5,""OVERDUE"",""DUE""))","9/16/2024","='Payment Tracker'!E5","='Payment Tracker'!F5","='Payment Tracker'!G5","=MAX(0,'Payment Tracker'!B5-TODAY())",""
"Q4 2024","=IF('Payment Tracker'!G6=0,""PAID"",IF(TODAY()>'Payment Tracker'!B6,""OVERDUE"",""DUE""))","1/15/2025","='Payment Tracker'!E6","='Payment Tracker'!F6","='Payment Tracker'!G6","=MAX(0,'Payment Tracker'!B6-TODAY())",""