PERSONAL INFORMATION,,,,,,,
Filing Status:,Single,,,"(Dropdown: Single, MFJ, MFS, HOH)",,,,
State of Residence:,CA,,,(Dropdown: All 50 states),,,
Primary Business Type:,Sole Prop,,,"(Dropdown: Sole Prop, S-Corp, Partnership)",,,
Tax Year:,2024,,,,,,,
Number of Dependents:,0,,,,,,,
,,,,,,,
PRIOR YEAR TAX INFORMATION,,,,,,,
Prior Year (2023) AGI:,0,,,Enter from Line 11 of Form 1040,,,
Prior Year Total Tax:,0,,,Enter from Line 24 of Form 1040,,,
Prior Year Estimated Payments Made:,0,,,,,,,
Prior Year Refund/Balance Due:,0,,,Enter positive for refund negative for balance due,,,
,,,,,,,
CURRENT YEAR QUARTERLY PROJECTIONS,,Q1,Q2,Q3,Q4,Total,,
Business Income,,0,0,0,0,=SUM(C15:F15),,
Business Expenses,,0,0,0,0,=SUM(C16:F16),,
Other Income,,0,0,0,0,=SUM(C17:F17),,
Retirement Contributions,,0,0,0,0,=SUM(C18:F18),,
,,,,,,,
ANNUAL DEDUCTIONS,,,,,,,
Standard Deduction:,14600,,,2024 amount for Single filer,,,
Itemized Deductions:,0,,,Enter only if itemizing,,,
HSA Contributions:,0,,,Health Savings Account contributions,,,
Self-Employed Health Insurance:,0,,,If self-employed enter premiums,,,
,,,,,,,
TAX CREDITS,,,,,,,
Child Tax Credit:,0,,,Enter qualifying amount,,,
Other Credits:,0,,,Enter total of other credits,,,
,,,,,,,
BUSINESS INFORMATION,,,,,,,
Business Start Date:,1/1/2024,,,,,,,
Accounting Method:,Cash,,,(Dropdown: Cash Accrual),,,
Home Office Square Feet:,0,,,Enter if claiming home office,,,
Total Home Square Feet:,0,,,,,,,
,,,,,,,
QUARTERLY ESTIMATED DETAILS,,Q1,Q2,Q3,Q4,,,
Federal Withholding (W-2),,0,0,0,0,,,
State Withholding,,0,0,0,0,,,
Other Tax Payments,,0,0,0,0,,,
,,,,,,,
NOTES & ADJUSTMENTS,,,,,,,
Special Circumstances:,,,,Enter any special tax situations,,,
Tax Professional Notes:,,,,For consultation use,,,