PAYMENT TRACKER & SCHEDULE,,,,,,,
,,,,,,,
Quarter,Due Date,Federal Due,State Due,Total Due,Amount Paid,Balance Due,Status
Q1 2024,1/15/24,#REF!,#REF!,#VALUE!,0,#VALUE!,DUE
Q2 2024,6/17/24,#REF!,#REF!,#REF!,0,#VALUE!,#VALUE!
Q3 2024,9/16/24,#REF!,#REF!,#REF!,0,#REF!,#VALUE!
Q4 2024,1/15/25,#REF!,#REF!,#REF!,0,#REF!,#REF!
,,,,,,,
PAYMENT SUMMARY,,,,,,,
Total Payments Due:,#VALUE!,,,,,,
Total Payments Made:,0,,,,,,
Remaining Balance:,#VALUE!,,,,,,
Next Payment Due:,#VALUE!,,,,,,
Next Due Date:,#VALUE!,,,,,,
Safe Harbor Status:,#REF!,,,,,,
,,,,,,,
PENALTY CALCULATIONS,,,,,,,
Days Late (Next Payment):,0,,,,,,
Penalty Rate (Annual):,8%,,2024 IRS underpayment rate,,,,
Penalty Amount:,0,,,,,,
Total Amount Due:,#VALUE!,,,,,,
,,,,,,,
PAYMENT HISTORY LOG,,,,,,,
Date,Quarter,Type,Amount,Method,Confirmation #,Notes,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PAYMENT METHODS & INSTRUCTIONS,,,,,,,
Federal Payments:,,,,,,,
Option 1:,IRS Direct Pay,,www.irs.gov/directpay,,,,
Option 2:,EFTPS,,www.eftps.gov,,,,
Option 3:,Check/Money Order,,Payable to: United States Treasury,,,,
,,,,,,,
State Payments:,,,,,,,
Website:,Check your state tax website,,,,,,
Mail:,Check state tax forms for address,,,,,,
,,,,,,,
ESTIMATED VS ACTUAL RECONCILIATION,,,,,,,
Quarter,Estimated Income,Actual Income,Variance,Estimated Tax,Actual Tax,Adjustment,
Q1 2024,#REF!,0,0,Federal Due,0,0,
Q2 2024,#REF!,0,#VALUE!,#REF!,0,#VALUE!,
Q3 2024,#REF!,0,#REF!,#REF!,0,#VALUE!,
Q4 2024,#REF!,0,#REF!,#REF!,0,#REF!,
Total,#REF!,0,#VALUE!,#REF!,0,#VALUE!,