SCENARIO PLANNING & WHAT-IF ANALYSIS,,,,,,,,,
,,,,,,,,,
SCENARIO COMPARISON,,Current,Scenario 1,Scenario 2,Scenario 3,,,,
Scenario Name:,,Baseline,Conservative,Aggressive,Tax Optimized,,,,
,,,,,,,,,
INCOME PROJECTIONS,,,,,,,,,
Annual Business Income:,,#REF!,0,0,0,,,,
Business Expenses:,,#REF!,0,0,0,,,,
Other Income:,,#REF!,0,0,0,,,,
Net Income:,,0,#REF!,0,0,,,,
,,,,,,,,,
DEDUCTIONS & CREDITS,,,,,,,,,
Retirement Contributions:,,#REF!,0,0,0,,,,
Health Insurance:,,#REF!,0,0,0,,,,
Home Office Deduction:,,0,0,0,0,,,,
Other Deductions:,,0,0,0,0,,,,
Total Deductions:,,0,#REF!,0,0,,,,
,,,,,,,,,
TAX CALCULATIONS,,,,,,,,,
Taxable Income:,,=MAX(0,B10-B16-'Input Data'!B21),=MAX(0,C10-C16-'Input Data'!B21),=MAX(0,D10-D16-'Input Data'!B21),=MAX(0,E10-E16-'Input Data'!B21)
Federal Income Tax:,,#REF!,#REF!,#REF!,#REF!,,,,
Self-Employment Tax:,,0,0,#REF!,0,,,,
State Income Tax:,,#REF!,#REF!,#REF!,#REF!,,,,
Total Tax:,,0,#VALUE!,#VALUE!,#VALUE!,,,,
,,,,,,,,,
FINANCIAL IMPACT,,,,,,,,,
After-Tax Income:,,0,0,#REF!,#REF!,,,,
Effective Tax Rate:,,#DIV/0!,#DIV/0!,#REF!,#REF!,,,,
Tax Savings vs Current:,,$0 ,0,0,#REF!,,,,
% Tax Savings:,,0%,#DIV/0!,#DIV/0!,#DIV/0!,,,,
,,,,,,,,,
QUARTERLY PAYMENTS,,,,,,,,,
Q1 Payment:,,0,0,0,#REF!,,,,
Q2 Payment:,,0,0,0,#REF!,,,,
Q3 Payment:,,0,0,0,#REF!,,,,
Q4 Payment:,,0,0,0,#REF!,,,,
,,,,,,,,,
CASH FLOW IMPACT,,,,,,,,,
Monthly After-Tax Income:,,0,#REF!,#REF!,#REF!,,,,
Monthly Tax Reserve:,,0,0,0,#REF!,,,,
Monthly Net Cash Flow:,,0,0,0,0,,,,
,,,,,,,,,
RECOMMENDATIONS,,,,,,,,,
Best Scenario:,,#REF!,,,,,,,
Tax Optimization Tips:,,See recommendations below based on scenarios,,,,,,,
,,,,,,,,,
SCENARIO NOTES,,,,,,,,,
Current:,,Your actual projected numbers,,,,,,,
Scenario 1:,,Conservative income projection,,,,,,,
Scenario 2:,,Aggressive growth projection,,,,,,,
Scenario 3:,,Maximum tax-saving strategies,,,,,,,