Date,Organization,Type,Method,Amount/Value,Receipt?,Description,,,,,,
1/15/24,United Way,Cash Donation,Check, $500.00 ,Yes,Annual workplace campaign,,DONATION METHOD BREAKDOWN:,,,CHARITABLE CONTRIBUTION SUMMARY:,
1/25/24,Local Food Bank,Non-Cash Donation,Property, $150.00 ,Yes,Clothing and household items,,Cash:, $350.00 ,,Total Cash Donations:," $5,475.00 "
2/10/24,Church,Cash Donation,Cash, $200.00 ,Yes,Weekly offering - February,,Check:," $4,075.00 ",,Total Non-Cash Donations:, $550.00 
2/14/24,Red Cross,Cash Donation,Credit Card, $100.00 ,Yes,Valentine's Day donation,,Credit Card:," $1,050.00 ",,Total Volunteer Mileage:,66.5
3/8/24,Habitat for Humanity,Volunteer Mileage,Mileage, $45.50 ,Yes,25 miles @ $0.14/mile construction help,,Property:, $550.00 ,,TOTAL CHARITABLE CONTRIBUTIONS:," $6,091.50 "
3/15/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - March,,Mileage:, $66.50 ,,,
3/22/24,Scholarship Fund,Cash Donation,Check," $1,000.00 ",Yes,Local student scholarship,,,,,AGI LIMITS CALCULATION:,
4/12/24,Animal Shelter,Non-Cash Donation,Property, $75.00 ,Yes,Pet supplies and blankets,,QUARTERLY BREAKDOWN:,,,Enter Your AGI:," $75,000.00 "
4/18/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - April,,Q1 Donations:," $2,195.50 ",,Cash Contribution Limit (60%):," $3,285.00 "
5/5/24,Disaster Relief Fund,Cash Donation,Credit Card, $250.00 ,Yes,Tornado relief donation,,Q2 Donations:," $1,375.00 ",,Property Contribution Limit (30%):, $165.00 
5/20/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - May,,Q3 Donations:," $1,300.00 ",,,
5/25/24,Library Foundation,Cash Donation,Check, $300.00 ,Yes,Annual book drive support,,Q4 Donations:," $1,221.00 ",,DEDUCTIBILITY ANALYSIS:,
6/8/24,Youth Sports League,Cash Donation,Cash, $150.00 ,Yes,Sponsorship of local team,,,,,Cash Donations This Year:," $5,475.00 "
6/15/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - June,,RECEIPT STATUS CHECK:,,,Within Cash Limit?:,"Exceeds limit by $68,909"
7/4/24,Veterans Organization,Cash Donation,Check, $175.00 ,Yes,4th of July donation,,Total Donations:,26,,Property Donations This Year:, $550.00 
7/20/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - July,,Receipts on File:,25,,Within Property Limit?:,Exceeds limit by $165
8/10/24,School Supply Drive,Non-Cash Donation,Property, $125.00 ,Yes,Back-to-school supplies,,Missing Receipts:,1,,,
8/25/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - August,,Receipt Compliance:,_ 1missing receipts,,ALLOWABLE DEDUCTION THIS YEAR:," $11,731.50 "
9/12/24,Hurricane Relief,Cash Donation,Credit Card, $400.00 ,Yes,Emergency disaster relief,,,,,,
9/22/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - September,,,,,,
10/15/24,Cancer Research,Cash Donation,Credit Card, $300.00 ,Yes,Annual fundraising walk,,,,,,
10/28/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - October,,,,,,
11/10/24,Food Bank,Volunteer Mileage,Mileage, $21.00 ,No,15 miles @ $0.14/mile food sorting,,,,,,
11/25/24,Church,Cash Donation,Check, $200.00 ,Yes,Weekly offering - November,,,,,,
12/15/24,Toys for Tots,Non-Cash Donation,Property, $200.00 ,Yes,Christmas toys for children,,,,,,
12/25/24,Church,Cash Donation,Check, $300.00 ,Yes,Christmas offering,,,,,,