Date,Expense Type,Total Amount,Business %,Deductible Amount,,,,,,
1/15/24,Mortgage Interest," $1,200.00 ",12.5%, $150.00 ,,HOME OFFICE DEDUCTION CALCULATOR,,,,
2/15/24,Property Taxes, $350.00 ,12.5%, $43.75 ,,Method:,Simplified,Actual Expense,,
3/15/24,Homeowners Insurance, $125.00 ,12.5%, $15.63 ,,,,,,
4/15/24,Utilities - Electric, $189.00 ,12.5%, $23.63 ,,SIMPLIFIED METHOD:,,,ACTUAL EXPENSE METHOD:,
5/15/24,Utilities - Gas, $67.00 ,12.5%, $8.38 ,,Home Office Square Feet:,250,,Total Home Square Feet:,2000
6/15/24,Utilities - Internet, $79.00 ,12.5%, $9.88 ,,Rate per Sq Ft:, $5.00 ,,Office Square Feet:,250
7/15/24,Home Repairs - Roof, $450.00 ,12.5%, $56.25 ,,Maximum Deduction:," $1,500.00 ",,Business Use Percentage:,12.5%
8/15/24,Maintenance - HVAC, $225.00 ,12.5%, $28.13 ,,Calculated Deduction:," $1,250.00 ",,,
9/15/24,Utilities - Electric, $156.00 ,12.5%, $19.50 ,,,,,,
10/15/24,Security System, $45.00 ,12.5%, $5.63 ,,COMPARISON:,,,,
11/15/24,Utilities - Electric, $178.00 ,12.5%, $22.25 ,,Simplified Method:," $1,250.00 ",,,
12/15/24,Cleaning Service, $120.00 ,12.5%, $15.00 ,,Actual Expense Method:, $398.00 ,,,
,,,,,,RECOMMENDED:,Simplified Method,,,
,,,,,,,,,,
,,,,,,TOTAL HOME OFFICE DEDUCTION:,1250,,,