Date,Start Location,End Location,Business Purpose,Odometer Start,Odometer End,Miles,Deduction,,,,
1/8/24,Home Office,Client Meeting - ABC Corp,Client consultation,"45,230","45,255",25, $16.75 ,,MILEAGE SUMMARY:,,
1/12/24,Home Office,Bank - First National,Business banking,"45,255","45,267",12, $8.04 ,,2024 Mileage Rate:,$0.67 ,per mile
1/18/24,Home Office,Office Depot,Purchase supplies,"45,267","45,275",8, $5.36 ,,Total Business Miles:,560,
1/25/24,Home Office,Tax Conference - Downtown,Professional development,"45,275","45,310",35, $23.45 ,,Total Deduction:, $375.20 ,
2/3/24,Home Office,Client Meeting - XYZ LLC,Tax preparation meeting,"45,310","45,328",18, $12.06 ,,Average Miles per Trip:,22.4,
2/10/24,Home Office,Attorney Office,Legal consultation,"45,328","45,345",17, $11.39 ,,Trips This Year:,25,
2/17/24,Home Office,Networking Event,Business development,"45,345","45,362",17, $11.39 ,,,,
2/24/24,Home Office,Client Meeting - Small Biz Inc,Monthly bookkeeping,"45,362","45,380",18, $12.06 ,,FORMULAS FOR COLUMN G (Miles):,,
3/5/24,Home Office,Post Office,Mail tax documents,"45,380","45,387",7, $4.69 ,,25,,
3/12/24,Home Office,IRS Office,Client representation,"45,387","45,425",38, $25.46 ,,,,
3/19/24,Home Office,Client Meeting - Family Trust,Estate planning review,"45,425","45,448",23, $15.41 ,,FORMULAS FOR COLUMN H (Deduction):,,
3/26/24,Home Office,CPE Seminar - Hotel,Continuing education,"45,448","45,475",27, $18.09 ,, $16.75 ,,
4/2/24,Home Office,Business Lunch - Restaurant,Client development,"45,475","45,492",17, $11.39 ,,,,
4/9/24,Home Office,Staples,Office supplies,"45,492","45,499",7, $4.69 ,,QUARTERLY TOTALS:,,
4/16/24,Home Office,Client Home Visit,Tax review,"45,499","45,534",35, $23.45 ,,Q1 (Jan-Mar):, $164.15 ,
4/23/24,Home Office,Chamber Meeting,Networking event,"45,534","45,549",15, $10.05 ,,Q2 (Apr-Jun):, $211.05 ,
4/30/24,Home Office,Bank Meeting,Business loan discussion,"45,549","45,566",17, $11.39 ,,Q3 (Jul-Sep):, $-   ,
5/7/24,Home Office,Client Meeting - Restaurant,Tax planning session,"45,566","45,588",22, $14.74 ,,Q4 (Oct-Dec):, $-   ,
5/14/24,Home Office,Tax Court,Client representation,"45,588","45,635",47, $31.49 ,,,,
5/21/24,Home Office,Professional Conference,Industry training,"45,635","45,672",37, $24.79 ,,,,
5/28/24,Home Office,Client Office Visit,Quarterly review,"45,672","45,695",23, $15.41 ,,,,
6/4/24,Home Office,Software Training,QuickBooks certification,"45,695","45,720",25, $16.75 ,,,,
6/11/24,Home Office,Client Meeting - Cafe,Business consultation,"45,720","45,735",15, $10.05 ,,,,
6/18/24,Home Office,Professional Development,Tax law update,"45,735","45,768",33, $22.11 ,,,,
6/25/24,Home Office,Client Meeting - Law Office,Joint meeting with attorney,"45,768","45,790",22, $14.74 ,,,,